timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_w,tracker_rot_x,tracker_rot_y,tracker_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754376005.329192,0.18684375286102295,0.1952352523803711,-1.2468246221542358,0.36561653740370775,0.3671853557185061,-0.5950214295067482,0.6143687520268521,-21.6825,-2.0175,102.0514,-9.54,9.2475,-47.9402,-10.89,-2.6175,-32.7789,2.265,-2.49,66.8041,-4.0425,40.14,127.9091,-5.685,-16.2825,-70.6277,-4.0875,-58.8825,-0.0968,-13.7175,10.575,122.0164,-11.295,-2.2725,-20.6184,-11.1375,72.915,12.6687,-16.215,72.8175,22.022,-5.9325,66.9,12.5719,-4.5525,2.145,-12.0395,-11.46,-2.88,27.9389,-7.2975,-1.8825,104.1689,-2.9025,10.0425,138.5934,-8.6475,-0.105,5.7596,-31.3425,31.335,71.5231,-0.7725,30.7875,143.8448,6.675,18.765,65.0738,1.8,32.25,-43.8988,25.7325,24.015,75.3709,2.67,-26.2575,-20.7031,-5.7675,6.7125,61.2502
1754376005.6932693,0.1869737207889557,0.1950007677078247,-1.2467365264892578,0.36585534283199383,0.3669928753852928,-0.5950151392344969,0.6143476741904502,-12.0825,1.5825,100.5994,66.51,9.8475,-47.9402,-10.89,-2.6175,-25.2769,17.115,-2.49,112.5421,4.9575,48.54,125.9731,-5.685,-18.3825,-70.1437,-4.2375,-58.7325,-7.8408,-13.7175,10.575,127.8244,-1.395,-2.8725,-35.8644,-11.1375,75.915,-18.3073,-21.015,72.2175,-4.114,-16.4325,77.55,27.8179,-4.5525,-74.655,37.5705,-11.46,-2.28,-10.7811,-9.6975,-1.1325,134.9029,-5.4525,-30.7575,118.5074,-27.2475,9.495,-29.0884,-31.1925,36.135,102.7411,-30.4725,32.1375,136.1008,-12.525,28.965,57.3298,19.8,37.35,-20.6668,-24.6675,24.015,120.8669,-33.33,-38.4075,151.6009,-3.3675,7.3125,-62.1698
1754376006.0566144,0.186824768781662,0.19529950618743896,-1.2469356060028076,0.3660337573680973,0.3668076436761194,-0.5950012796290679,0.6143654655433916,-20.6325,-3.0675,110.0374,-5.49,11.0475,-47.4562,-10.89,-2.6175,-56.2529,-1.635,7.11,96.8121,-4.4925,39.24,126.2151,-6.285,-18.6825,-70.6277,-4.3875,-58.8825,-7.8408,-13.7175,10.725,92.0084,-11.295,-0.4725,-67.0824,-6.1875,75.315,-18.3073,-18.615,72.2175,21.054,210.0675,66.9,4.8279,-4.4025,2.295,-12.0395,-10.26,-2.88,-10.7811,-9.6975,-1.4325,-19.0091,-5.4525,6.4425,114.3934,11.7525,-0.105,-13.1164,-24.1425,33.135,102.0151,7.3275,29.4375,136.1008,-23.325,21.165,-65.6062,-15.0,33.75,73.2292,-5.1675,24.765,105.3789,2.67,-38.2575,149.6649,-5.7675,7.3125,99.9702
1754376006.421589,0.18704193830490112,0.19506311416625977,-1.2468701601028442,0.365878329099998,0.36689698265234133,-0.5949122709846123,0.6144908734286265,50.3175,1.5825,98.9054,-7.59,8.7975,91.4518,-9.69,-2.4675,-29.1489,7.365,0.51,113.7521,-4.7925,39.24,114.3571,-5.685,-11.6325,-70.1437,-4.3875,-56.1825,-6.8728,-13.7175,10.875,-30.4436,-11.295,5.0775,-34.8964,-10.8375,78.615,-19.2753,-20.715,19.4175,-6.05,-20.3325,69.6,12.3299,0.5475,-74.655,42.1685,-11.31,-2.28,20.1949,-9.6975,-1.7325,-19.9771,-5.6025,5.3925,126.0094,-24.2475,9.495,-29.0884,-26.3925,50.535,86.0431,-31.0725,1.8375,136.5848,13.875,28.965,103.7938,-19.8,36.15,80.2472,-15.0675,24.015,-49.5011,-25.83,-27.6075,-16.8311,71.0325,9.4125,-62.6538
1754376006.7838995,0.18716943264007568,0.1948314905166626,-1.2464255094528198,0.3657529129097893,0.3669147481387441,-0.5953554241166432,0.6141256086271302,-18.9825,-1.5675,96.4854,-10.29,10.7475,-16.9642,-1.29,6.9825,-62.5449,-1.785,2.91,-58.0679,-2.9925,38.94,-44.3949,-6.885,-18.6825,-70.6277,-4.3875,-58.8825,-7.8408,-13.7175,15.375,127.8244,-11.295,-2.7225,-67.0824,-11.1375,75.315,-18.3073,154.185,72.8175,-2.178,-20.1825,69.45,13.7819,-2.1525,4.545,34.4245,-10.26,-2.73,28.4229,0.0525,-1.8825,103.9269,-5.6025,5.3925,112.4574,-29.0475,1.095,1.8876,-31.3425,31.335,70.5551,-29.8725,29.4375,151.5888,-22.125,21.165,96.0498,19.8,31.35,-12.9228,-34.2675,24.015,121.1089,5.07,-36.6075,-20.7031,-5.7675,6.7125,92.2262
1754376007.1469178,0.17931094765663147,0.19752538204193115,-1.2535340785980225,0.38125613299467254,0.3412662533461544,-0.5840918777051238,0.6300934823689808,-11.7825,-2.7675,104.2294,-10.29,9.8475,75.9638,-1.29,-2.3175,-45.6049,7.215,-0.09,65.8361,-4.1925,40.14,110.4851,3.315,-9.2325,-70.6277,-4.3875,-57.6825,-6.8728,-8.9175,10.575,122.0164,-9.945,-1.6725,-27.3944,-10.5375,72.915,-19.2753,132.735,74.6175,21.054,214.8675,77.1,12.3299,-3.9525,-74.055,-11.7975,-1.26,-1.68,20.1949,-9.6975,-0.6825,120.3829,33.9975,5.2425,110.5214,-29.0475,-0.105,2.3716,-31.3425,31.485,86.0431,-21.4725,32.4375,-18.7792,13.875,20.565,-64.6382,-14.7,31.95,-20.6668,-33.6675,24.165,-49.5011,-28.38,-38.4075,-20.7031,-5.7675,18.7125,-62.4118
1754376007.5109386,0.16410374641418457,0.19426250457763672,-1.4120532274246216,0.372498454693548,0.3618587727285183,-0.5940585065293984,0.6143269606091035,-20.1825,-76.4175,-65.8966,-9.54,-20.1525,106.9398,-1.29,74.4825,-33.0209,-2.535,-2.49,73.5801,-2.3925,48.54,-13.4189,-6.885,58.5675,-70.6277,-3.4875,-58.8825,116.5472,-13.7175,10.575,91.0404,-10.545,74.0775,56.8216,-6.3375,72.915,-11.5313,-17.415,-2.1825,-9.922,-17.1825,-0.15,-3.1581,-2.0025,-74.655,49.9125,-9.06,2.22,120.8669,-7.2975,-78.6825,104.1689,-5.6025,-69.1575,-44.3586,-29.0475,87.495,13.5036,-28.7925,223.335,-52.8649,122.5275,307.8375,-18.2952,-4.125,98.265,-58.3462,-10.2,72.15,-51.6428,-40.5675,-91.185,-45.6291,118.17,268.7925,-12.4751,-5.7675,-64.9875,-62.6538
1754376007.8746138,0.16286447644233704,0.19344329833984375,-1.41511070728302,0.33896288422411874,0.34549443525731593,-0.60942434799484,0.6279647381315765,19.4175,29.9325,-65.6546,9.51,-68.1525,-47.9402,-10.89,-2.4675,-63.9969,-1.635,-58.29,-58.0679,-3.5925,-17.31,-40.5229,31.515,-18.8325,-70.6277,-1.2375,-39.0825,-5.9048,-12.9675,-65.025,-32.8636,-5.295,-2.8725,88.2816,-9.6375,-3.885,-139.3073,-21.015,-4.5825,-133.826,18.0675,-8.7,-18.6461,-4.4025,-74.505,-135.9435,26.94,35.52,144.3409,-9.0975,-68.7825,43.9109,6.3975,-71.5575,-42.4226,126.3525,76.695,-27.1524,7.0575,-33.465,-37.8609,-31.0725,147.0375,-18.5372,129.075,-19.335,-66.5742,18.6,-229.95,-51.1588,-14.9175,110.415,-47.5651,118.02,4.1925,-20.7031,-5.7675,-69.4875,-61.9278
1754376008.2386332,0.16262203454971313,0.19314539432525635,-1.4146649837493896,0.33782344403124454,0.34411227652865733,-0.6096675763549607,0.629100553709546,-9.8325,21.8325,-50.6506,-0.69,-63.3525,-38.2602,-10.89,98.1825,-58.1889,-2.535,-75.69,-57.0999,-4.7925,-13.86,-44.3949,-4.485,58.2675,-70.6277,-4.3875,-58.8825,-5.9048,-13.1175,-27.525,-32.8636,-11.295,3.7275,56.8216,-11.1375,-3.885,-143.1793,-20.415,-2.4825,-129.954,-10.7325,-7.5,-10.9021,34.1475,-74.055,-134.9755,1.14,-2.73,167.3309,-9.6975,-40.2825,105.8629,32.7975,-61.9575,-44.3586,134.1525,-230.355,-29.0884,7.0575,-45.465,-53.3489,-28.6725,144.6375,-17.8112,132.975,-14.835,-66.5742,18.6,-194.1,-51.6428,-15.0675,100.815,-48.5331,132.27,268.9425,-18.7671,32.6325,-40.9875,-62.6538
1754376008.6031945,0.16274073719978333,0.1932588815689087,-1.4146337509155273,0.33824512896686015,0.34357564974824656,-0.6100657200741721,0.6287812166434851,-8.4825,30.2325,-65.6546,-9.99,-68.1525,-46.0042,-10.89,112.7325,-62.0609,-1.335,-69.69,-54.1959,-4.7925,0.69,-44.3949,5.415,58.2675,-64.8197,0.4125,-20.4825,-7.5988,-13.7175,-66.225,-32.6216,0.705,11.6775,56.8216,-11.1375,-3.885,-143.1793,-18.315,-4.5825,-133.826,-20.3325,-0.3,-18.1621,-4.5525,-74.655,-12.0395,-3.66,2.52,113.1229,-9.6975,-59.3325,-19.0091,32.9475,-70.3575,-43.8746,124.5525,-230.355,-29.0884,7.0575,223.935,-53.3489,-31.0725,298.2375,-18.0532,129.225,-19.335,-58.8302,18.6,-232.65,-34.2188,-14.9175,110.415,-34.0131,122.67,-0.0075,-20.7031,4.1325,-25.6875,-60.2338
1754376008.9671419,0.16271156072616577,0.19321751594543457,-1.4145644903182983,0.3380754591183327,0.3437591486901104,-0.6102597701797032,0.6285838165418103,-12.0825,15.8325,-62.2666,-9.99,-58.5525,-47.4562,-0.69,102.9825,-63.9969,7.815,-76.89,-55.1639,-2.3925,-37.86,-44.3949,31.515,57.9675,-70.6277,-4.3875,-54.0825,-7.8408,-11.3175,-65.925,-22.6996,-1.695,-2.8725,57.0636,-3.3375,-2.535,-11.2893,-1.815,-4.5825,-133.826,19.2675,-7.5,-18.6461,14.6475,-74.055,-132.0715,8.34,2.22,144.0989,9.5025,-78.6825,-19.9771,-5.4525,-71.5575,-44.3586,124.8525,-213.705,-13.6004,7.0575,-44.265,-37.8609,-25.6725,183.0375,-14.9072,129.075,-17.235,-42.8582,21.0,-197.85,-20.6668,-15.0675,108.015,-49.5011,117.87,0.5925,-18.7671,32.6325,-31.3875,-60.7178
1754376009.330812,0.16281867027282715,0.19276583194732666,-1.4143329858779907,0.33814239640294197,0.3436430773056541,-0.6100919479966126,0.6287741888930313,29.0175,30.3825,-44.8426,-10.29,-68.1525,-28.5802,-10.74,114.9825,-60.1249,-2.535,-69.09,-57.8259,4.8075,-18.66,-44.3949,-6.885,57.9675,-70.6277,-4.3875,-34.2825,-7.8408,25.2825,-66.225,-30.4436,0.705,-0.4725,99.4136,-10.9875,-3.885,-11.5313,-11.115,-4.4325,-133.342,-13.1325,-0.3,-10.9021,5.0475,-73.155,-135.9435,27.69,9.12,120.8669,-9.6975,-68.7825,-2.5531,5.4975,-65.5575,-38.5506,124.5525,-225.705,-13.6004,7.0575,-45.165,-53.3489,173.8275,144.6375,-18.7792,141.675,-19.635,-62.7022,21.0,69.75,-51.6428,-14.9175,111.015,-41.7571,120.27,268.7925,-20.2191,-5.7675,-59.5875,-62.6538
1754376009.6953447,0.162797212600708,0.19283592700958252,-1.4143744707107544,0.33816264425856035,0.34357291384016697,-0.6101414720562924,0.6287535584239581,-19.2825,22.4325,-49.9246,30.51,-68.1525,-32.4522,-10.89,2.1825,-63.9969,-2.535,-69.09,-57.8259,19.8075,-37.86,-36.6509,-2.085,-18.8325,-55.1397,0.4125,-34.8825,-0.0968,-13.7175,-56.325,-32.8636,-11.295,-1.6725,65.0496,29.6625,-3.885,-143.1793,-21.015,-4.5825,-133.826,-20.3325,-9.9,-16.7101,0.2475,-63.855,-12.0395,-1.86,-2.88,113.1229,-9.3975,-78.6825,22.6149,-5.6025,-66.4575,-43.8746,125.1525,-220.755,-28.1204,9.4575,-33.465,-51.8969,-30.7725,150.0375,-18.7792,129.075,-14.835,-62.7022,-19.8,-231.75,-51.1588,-10.2675,100.815,-34.0131,117.87,-38.4075,-5.2151,-2.7675,-70.0875,-62.4118
1754376010.058698,0.16284042596817017,0.19288671016693115,-1.4142844676971436,0.33812931432734555,0.3436426739787818,-0.6099932686780909,0.6288771766997364,-16.8825,25.7325,-52.8286,-0.69,-68.1525,-47.9402,-6.09,98.1825,-62.0609,2.265,-78.54,-54.1959,-4.7925,-16.26,-44.3949,38.715,57.9675,-70.6277,-4.2375,-30.0825,-7.8408,-11.0175,-61.425,-30.6856,-4.095,-2.7225,57.3056,-11.1375,-3.885,-135.4353,-11.415,-4.5825,-81.554,-10.7325,-0.3,-18.6461,33.9975,-36.255,-135.9435,26.94,-1.68,113.1229,-9.6975,-78.5325,28.4229,13.7475,-71.5575,-42.4226,124.8525,-228.105,-11.1804,7.0575,-83.865,-49.2349,-31.0725,144.6375,-14.9072,131.775,-19.635,-66.3322,18.6,-199.05,-43.6568,-15.0675,62.565,-48.7751,127.62,9.5925,-20.7031,6.2325,-69.4875,-62.6538
1754376010.422982,0.16297471523284912,0.19269859790802002,-1.414194941520691,0.3381929819956647,0.3435013500507678,-0.6099651064391953,0.6289474735906404,-9.5325,18.2325,-63.7186,-4.89,-68.0025,-46.0042,-10.89,93.3825,-63.9969,-1.935,-79.29,-57.5839,-4.6425,-18.66,-44.3949,-6.735,60.3675,-70.6277,-4.3875,-38.4825,62.0972,-13.7175,-56.625,-32.8636,-11.295,-2.2725,87.7976,27.2625,-3.735,-143.1793,10.785,0.2175,-133.826,-20.3325,-5.1,-18.6461,33.8475,-71.955,-135.4595,8.34,16.32,113.1229,-9.6975,-73.8825,44.1529,-5.0025,-71.1075,-42.1806,124.5525,76.695,-12.8744,11.8575,-35.865,-37.8609,-31.0725,298.2375,4.4528,138.675,-14.835,-62.2182,28.2,-199.05,-50.6748,-14.7675,-91.185,-49.5011,122.07,0.2925,-20.2191,32.6325,-31.6875,-47.1658
1754376010.7872827,0.16292542219161987,0.1926177740097046,-1.4141619205474854,0.3381389441261438,0.3437894349281409,-0.6100161062757083,0.6287696024279361,-12.0825,15.8325,-50.6506,-10.29,-68.1525,-47.6982,-10.89,112.5825,-56.2529,-2.385,-59.79,-54.1959,0.6075,-18.66,-40.5229,-6.285,14.7675,-68.6917,-4.3875,-39.0825,7.8892,26.4825,-56.475,91.2824,-11.295,-2.8725,56.8216,-10.9875,-3.885,-143.1793,-10.815,-4.5825,-133.826,-17.7825,9.3,-17.1941,5.0475,-74.655,-135.9435,26.94,4.32,113.3649,-4.8975,-40.1325,18.9849,32.7975,-71.5575,-44.3586,134.1525,-229.305,-28.1204,14.2575,-40.665,-37.8609,-31.0725,187.8375,-12.4872,129.225,-19.635,-66.3322,18.6,-199.05,-36.1548,-5.1675,110.715,-49.5011,117.87,24.7425,-16.8311,-5.7675,-69.1875,-60.7178
1754376011.151346,0.1629604697227478,0.19246459007263184,-1.4141767024993896,0.3380736117335927,0.3436626757811457,-0.609896853558011,0.6289897124369971,21.5175,35.4825,-65.8966,-10.29,-67.8525,-47.9402,-9.69,103.5825,-63.9969,2.265,-60.09,-58.0679,14.4075,-6.06,-44.3949,0.915,9.9675,-70.6277,5.2125,-39.5325,-0.0968,-7.4175,-60.225,-17.3756,-10.695,-2.7225,56.8216,3.5625,-3.285,-143.1793,-21.015,-1.8825,-118.338,-16.4325,-8.7,-14.7741,15.8475,-65.055,-135.9435,26.94,2.22,122.3189,-9.6975,-77.4825,-18.5251,-5.6025,-71.4075,-36.6146,124.5525,76.695,-28.1204,11.8575,223.335,-53.3489,-31.0725,144.6375,-18.7792,129.075,-10.035,-65.6062,18.75,-196.65,-51.1588,-10.2675,100.815,-45.3871,125.07,268.7925,-15.8631,-0.9675,-31.5375,-51.0378
