timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658729.9553235,0.1085052490234375,1.0091559886932373,-0.043035462498664856,87.49106484546226,-81.20401728976806,3.0594414470421043,0.5373512777234393,-0.4559677224859177,0.46448252970215725,0.5362861918534354,-292.0,60.8,5.81
1754658730.162038,0.1093793511390686,1.0091543197631836,-0.04975469410419464,87.38372619758479,-81.47007264810134,3.1011700061940903,0.5360045104972583,-0.4575082485046367,0.4654370897927451,0.5354937140699157,-262.8,58.0,-14.86
1754658730.3693657,0.10958284139633179,1.0089831352233887,-0.056771233677864075,87.57547338021644,-81.32037730545298,2.9157394929815914,0.5367310939825447,-0.4568672412267837,0.46466685163435056,0.5359819430991764,-241.4,56.8,-26.81
1754658730.5772173,0.10974985361099243,1.0085757970809937,-0.06419633328914642,87.61817224651774,-81.10258420151143,2.877048090787046,0.5376064529427311,-0.45581286052936,0.4636799526391745,0.5368563112226001,-222.6,54.0,-38.44
1754658730.7991633,0.11049973964691162,1.008792757987976,-0.07181517779827118,88.03414271145051,-80.62872115815358,2.436518582041443,0.5396169579058211,-0.4538949185224977,0.46112605538161866,0.5386609186428593,-204.2,52.4,-45.54
1754658731.0033948,0.11037063598632812,1.0083389282226562,-0.07445870339870453,88.01068934420287,-79.52919000821868,2.6951592132655904,0.5446929137709758,-0.44738718788081655,0.4572503252051682,0.542288091362392,-189.4,52.2,-48.77
1754658731.2108288,0.10590577125549316,1.0078409910202026,-0.07729779183864594,87.42778484880765,-77.96136103247825,3.2964101042279084,0.5500549299054519,-0.43904364802833,0.4506967012429043,0.5491380859858469,-183.4,51.0,-51.03
1754658731.431405,0.09389042854309082,1.007416844367981,-0.07569263875484467,88.45115577824085,-77.51513009830231,2.387841847168142,0.5531294457219407,-0.43717977847343165,0.44819269343879187,0.5495860625782963,-181.2,46.2,-49.1
1754658731.6368434,0.08107876777648926,1.0074011087417603,-0.07700042426586151,88.0773820591177,-77.85336580925667,2.9331624949449187,0.5521708802660813,-0.4376957357728161,0.4509467634242119,0.5478837648488103,-183.6,37.0,-50.39
1754658731.858723,0.06442046165466309,1.0066330432891846,-0.07753752171993256,87.52608299327026,-79.04576785623583,3.5424942820499337,0.5474905654031544,-0.4428914433573593,0.4571829079116013,0.5432171754989503,-179.0,28.6,-52.65
1754658732.0660138,0.05466938018798828,1.0065244436264038,-0.08108602464199066,86.02950379093697,-79.05181761741726,4.899944277085208,0.5456067013694532,-0.4424227666018807,0.4578738239646811,0.5449099270218324,-170.4,22.8,-53.94
1754658732.2732327,0.045558393001556396,1.0060616731643677,-0.08188097178936005,85.64443430002818,-78.41413902157254,5.284972909913573,0.5475123147485701,-0.43886657984802213,0.45541718588521113,0.5479246698906352,-161.2,21.4,-55.88
1754658732.4792612,0.036557674407958984,1.0046483278274536,-0.08319692313671112,86.49944047209159,-77.92424155606618,4.1137643392264795,0.5488647134993959,-0.43858935074151645,0.45089509316270043,0.5505273955560279,-155.0,21.2,-56.53
1754658732.702272,0.02630925178527832,1.004954218864441,-0.083489790558815,86.61935406498452,-77.97388156044376,3.736076790180039,0.5478146917114967,-0.44017681995175323,0.4497631496393752,0.5512317091424025,-147.8,20.4,-58.14
1754658732.9072516,0.018352627754211426,1.0050710439682007,-0.08307935297489166,87.42750481894429,-78.2982327279082,2.789907335389918,0.5468678823062216,-0.443152206794929,0.4498082525050117,0.5497490772065627,-142.4,20.0,-58.14
1754658733.1278403,0.010003745555877686,1.0040991306304932,-0.07924716174602509,87.21343609921045,-78.11405795427437,2.865633662362753,0.5468095772835422,-0.4427106226829826,0.4485019013230201,0.5512282000035766,-137.2,19.0,-58.14
1754658733.3347206,0.006602942943572998,1.003194808959961,-0.07277260720729828,86.78564283531563,-79.14998420699163,3.2822718662582315,0.5425722067984342,-0.4475912096196744,0.45353836903475375,0.5473393105424289,-135.4,16.8,-57.82
1754658733.5420148,0.004800319671630859,1.0027927160263062,-0.06467048823833466,87.08827857835331,-78.52216125556684,2.8006231091234555,0.5444557384330706,-0.44554891293231086,0.4495669710943464,0.5504030658674303,-136.4,13.4,-58.14
1754658733.7469087,0.0034779906272888184,1.0032271146774292,-0.05441926419734955,86.89648631931934,-77.6958818441327,3.047479757214849,0.547509040059173,-0.44098201239193685,0.44624563115116384,0.5537449241397072,-138.4,7.4,-57.49
1754658733.9694884,0.005535244941711426,1.0027881860733032,-0.04306952655315399,87.04106471644867,-76.58538643136146,2.697970710048611,0.5508915298292438,-0.4364981187875591,0.43999986203998465,0.5589167302649153,-143.0,-2.0,-55.88
1754658734.1739655,0.00552600622177124,1.0022411346435547,-0.03268538415431976,87.7489366386584,-75.52571771450708,1.9953486896752357,0.5555198092499712,-0.43184367509024707,0.43429715012060466,0.5624007888397539,-147.4,-12.6,-52.33
1754658734.3954315,0.008079230785369873,1.003665566444397,-0.021285563707351685,87.97160767361358,-75.5283855046032,1.6859618908545828,0.5554362058443306,-0.43251356489497134,0.4336310404706134,0.5624825833773386,-151.6,-25.6,-49.1
1754658734.6022148,0.0057220458984375,1.0016967058181763,-0.01227918267250061,88.47927949131271,-75.27808353090714,1.289068976335421,0.5573459452670231,-0.4312694670729535,0.4324057765433175,0.56249200733288,-153.6,-38.8,-45.87
1754658734.8072395,0.007193088531494141,1.0021857023239136,-0.005284711718559265,88.535031677407,-74.52201094422456,0.9246896437870034,0.5590161156631492,-0.4290566188586949,0.4271927515869243,0.5664959345304196,-153.8,-48.4,-42.31
1754658735.028248,0.010427534580230713,1.0021299123764038,0.004332706332206726,88.84834724513215,-74.57551299790462,0.847104503967579,0.5600771568880436,-0.4285332193683485,0.42824020084393083,0.5650513995460796,-154.4,-62.6,-35.53
1754658735.2340715,0.013459265232086182,1.00187087059021,0.015289470553398132,88.95846292213955,-75.57977015678208,1.0909861386093878,0.5578358192531182,-0.4319210101651017,0.43468468234994095,0.5597432599153622,-155.2,-84.8,-23.26
1754658735.440364,0.01728034019470215,1.0021953582763672,0.022670015692710876,87.89640709160065,-76.92336017880605,2.174285037924653,0.5518235343628822,-0.43742224822730386,0.4422850374067395,0.5554605164797184,-151.8,-107.6,-10.01
